0.000, 1; 0,-4
14.551, 1; 0,8
14.722, 2; 0,0 / 0,5
14.894, 1; 0,-8
15.065, 2; 0,0 / 0,-5
15.237, 1; 0,8
15.408, 2; 0,0 / 0,5
15.580, 1; 0,-8
15.751, 2; 0,0 / 0,-5
15.923, 1; 0,8
16.094, 2; 0,0 / 0,5
16.266, 1; 0,-8
16.437, 2; 0,6 / 0,-7
16.608, 1; 0,-2
16.780, 2; 0,7 / 0,-6
16.951, 1; 0,2
17.123, 2; 0,6 / 0,-7
17.294, 1; 0,-2
17.466, 2; 0,6 / 0,-6
17.637, 1; 0,2
17.809, 2; 0,6 / 0,-7
17.980, 1; 0,-2
18.152, 2; 0,6 / 0,-6
18.323, 1; 0,2
18.495, 2; 0,6 / 0,-7
18.666, 1; 0,-2
18.838, 2; 0,6 / 0,-6
19.009, 1; 0,2
19.181, 2; 0,-1 / 0,-6
19.352, 1; 0,8
19.524, 2; 0,1 / 0,6
19.695, 1; 0,-8
19.867, 2; 0,-1 / 0,-6
20.038, 1; 0,8
20.210, 2; 0,1 / 0,6
20.381, 1; 0,-8
20.553, 2; 0,-1 / 0,-6
20.724, 1; 0,8
20.896, 2; 0,1 / 0,6
21.067, 1; 0,-8
21.239, 2; 0,-1 / 0,-6
21.410, 1; 0,8
21.582, 2; 0,1 / 0,6
21.753, 1; 0,-8
21.925, 2; 0,0 / 0,-6
21.967, 1; 1,1
22.011, 1; 1,2
22.054, 1; 1,3
22.096, 1; 0,-3
22.268, 2; 0,0 / 0,6
22.439, 1; 0,3
22.611, 2; 0,0 / 0,-6
22.782, 1; 0,-3
22.954, 2; 0,0 / 0,6
23.125, 1; 0,3
23.297, 2; 0,0 / 0,-6
23.468, 1; 0,-3
23.640, 2; 0,0 / 0,6
23.811, 1; 0,3
23.983, 2; 0,0 / 0,-6
24.154, 1; 0,-3
24.326, 2; 0,0 / 0,6
24.497, 1; 0,3
24.669, 2; 0,6.6 / 0,-6.6
24.690, 2; 2,5 / 2,-5
24.840, 1; 0,-3
25.012, 2; 0,5 / 0,-5
25.183, 1; 0,2
25.355, 2; 0,6 / 0,-6
25.526, 1; 0,-2
25.698, 2; 0,5 / 0,-5
25.869, 1; 0,1
26.041, 2; 0,6 / 0,-6
26.212, 1; 0,-1
26.384, 2; 0,5 / 0,-5
26.555, 1; 0,0
26.727, 2; 0,6 / 0,-6
26.898, 1; 0,0
27.070, 2; 0,5 / 0,-5
27.241, 1; 0,0
27.413, 2; 0,-3 / 0,4
27.584, 2; 0,2 / 0,7
27.760, 2; 0,-5 / 0,1
27.927, 1; 0,0
28.099, 2; 0,-3 / 0,4
28.271, 2; 0,-5 / 0,6
28.442, 2; 0,-3 / 0,4
28.613, 2; 0,-5 / 0,6
28.785, 2; 0,-6 / 0,7
28.956, 1; 0,0
29.042, 1; 0,0
29.128, 1; 0,0
29.299, 2; 0,-5 / 0,5
29.471, 2; 0,0 / 0,5
29.642, 2; 0,0 / 0,-5
29.814, 2; 0,1 / 0,6
29.986, 2; 0,-1 / 0,-6
30.158, 1; 0,6
30.244, 1; 0,-4
30.329, 1; 0,-2.5
30.415, 1; 0,-4
30.501, 1; 0,6
30.587, 1; 0,-5
30.672, 1; 0,-3.5
30.758, 1; 0,-5
30.844, 1; 0,7
30.930, 1; 0,-5
31.015, 1; 0,-3.5
31.101, 1; 0,-5
31.187, 1; 0,7
31.272, 1; 0,-6
31.358, 1; 0,-4.5
31.444, 1; 0,-6
31.530, 2; 1,6 / 1,-6
31.571, 2; 1,5.84615 / 1,-5.84615
31.612, 2; 1,5.6923 / 1,-5.6923
31.653, 2; 1,5.53846 / 1,-5.53846
31.694, 2; 1,5.38461 / 1,-5.38461
31.735, 2; 1,5.23077 / 1,-5.23077
31.776, 2; 1,5.07692 / 1,-5.07692
31.817, 2; 1,4.92308 / 1,-4.92308
31.858, 2; 1,4.76923 / 1,-4.76923
31.899, 2; 1,4.61538 / 1,-4.61538
31.940, 2; 1,4.46153 / 1,-4.46153
31.981, 2; 1,4.30769 / 1,-4.30769
32.022, 2; 1,4.15384 / 1,-4.15384
32.063, 2; 1,4 / 1,-4
32.104, 2; 1,3.84615 / 1,-3.84615
32.145, 2; 1,3.6923 / 1,-3.6923
32.186, 2; 1,3.53846 / 1,-3.53846
32.227, 2; 1,3.38461 / 1,-3.38461
32.268, 2; 1,3.23077 / 1,-3.23077
32.309, 2; 1,3.07692 / 1,-3.07692
32.350, 2; 1,2.92308 / 1,-2.92308
32.391, 2; 1,2.76923 / 1,-2.76923
32.432, 2; 1,2.61538 / 1,-2.61538
32.473, 2; 1,2.46153 / 1,-2.46153
32.514, 2; 1,2.30769 / 1,-2.30769
32.555, 2; 1,2 / 1,-2
32.596, 2; 1,1.84615 / 1,-1.84615
32.637, 2; 1,1.6923 / 1,-1.6923
32.678, 2; 1,1.53846 / 1,-1.53846
32.719, 2; 1,1.38461 / 1,-1.38461
32.760, 2; 1,1.23077 / 1,-1.23077
32.801, 2; 1,1.07692 / 1,-1.07692
32.842, 2; 1,0.92308 / 1,-0.92308
32.883, 2; 1,0.76923 / 1,-0.76923
32.924, 2; 1,0.61538 / 1,-0.61538
33.100, 1; 1,0
33.271, 1; 1,-3
33.442, 1; 1,1
33.613, 1; 1,5
33.784, 1; 1,-5
33.955, 1; 1,-1
34.126, 1; 1,3
34.297, 1; 1,7
34.468, 1; 1,-5
34.639, 1; 1,-1
34.810, 1; 1,3
34.981, 1; 1,7
35.152, 1; 1,-5
35.323, 1; 1,-1
35.494, 1; 1,3
35.665, 1; 1,7
35.836, 1; 1,-4
36.007, 1; 1,0
36.178, 1; 1,4
36.349, 1; 1,8
36.520, 1; 1,-4
36.691, 1; 1,0
36.862, 1; 1,4
37.033, 1; 1,8
37.204, 1; 1,-5
37.375, 1; 1,-1
37.546, 1; 1,3
37.717, 1; 1,7
37.888, 1; 1,-6
38.059, 1; 1,-2
38.230, 1; 1,2
38.401, 1; 1,6
38.572, 1; 1,0
38.743, 1; 1,1
38.914, 1; 1,-3
39.085, 1; 1,-7
39.256, 1; 1,5
39.427, 1; 1,1
39.598, 1; 1,-3
39.769, 1; 1,-7
39.940, 1; 1,6
40.111, 1; 1,2
40.282, 1; 1,-2
40.453, 1; 1,-6
40.624, 1; 1,6
40.795, 1; 1,2
40.966, 1; 1,-2
41.137, 1; 1,-6
41.308, 1; 1,8
41.479, 1; 1,4
41.650, 1; 1,0
41.821, 1; 1,-4
41.992, 1; 1,8
42.163, 1; 1,4
42.334, 1; 1,0
42.505, 1; 1,-4
42.677, 2; 1,6 / 1,-6
42.718, 2; 1,5.84615 / 1,-5.84615
42.759, 2; 1,5.6923 / 1,-5.6923
42.800, 2; 1,5.53846 / 1,-5.53846
42.841, 2; 1,5.38461 / 1,-5.38461
42.882, 2; 1,5.23077 / 1,-5.23077
42.923, 2; 1,5.07692 / 1,-5.07692
42.964, 2; 1,4.92308 / 1,-4.92308
43.005, 2; 1,4.76923 / 1,-4.76923
43.046, 2; 1,4.61538 / 1,-4.61538
43.087, 2; 1,4.46153 / 1,-4.46153
43.128, 2; 1,4.30769 / 1,-4.30769
43.169, 2; 1,4.15384 / 1,-4.15384
43.210, 2; 1,4 / 1,-4
43.251, 2; 1,3.84615 / 1,-3.84615
43.292, 2; 1,3.6923 / 1,-3.6923
43.333, 2; 1,3.53846 / 1,-3.53846
43.374, 2; 1,3.38461 / 1,-3.38461
43.415, 2; 1,3.23077 / 1,-3.23077
43.456, 2; 1,3.07692 / 1,-3.07692
43.497, 2; 1,2.92308 / 1,-2.92308
43.538, 2; 1,2.76923 / 1,-2.76923
43.579, 2; 1,2.61538 / 1,-2.61538
43.620, 2; 1,2.46153 / 1,-2.46153
43.661, 2; 1,2.30769 / 1,-2.30769
43.702, 2; 1,2 / 1,-2
43.743, 2; 1,1.84615 / 1,-1.84615
43.784, 2; 1,1.6923 / 1,-1.6923
43.825, 2; 1,1.53846 / 1,-1.53846
43.866, 2; 1,1.38461 / 1,-1.38461
43.907, 2; 1,1.23077 / 1,-1.23077
43.948, 2; 1,1.07692 / 1,-1.07692
43.989, 2; 1,0.92308 / 1,-0.92308
44.161, 1; 1,-5
44.332, 2; 1,-3 / 0,4
44.503, 1; 1,-1
44.674, 1; 1,-3
44.845, 2; 1,-5 / 0,4
45.016, 1; 1,-3
45.187, 2; 1,-1 / 0,5
45.358, 2; 1,-3 / 0,6
45.529, 1; 1,-5
45.700, 2; 1,-3 / 0,5
45.871, 2; 1,-1 / 0,4 
46.042, 1; 1,-3
46.213, 2; 1,-5 / 0,5 
46.384, 2; 1,-3 / 0,6
46.555, 1; 1,-1
46.726, 2; 1,-3 / 0,3.5
46.897, 1; 1,-5
46.989, 1; 1,-3
47.160, 1; 1,-1
47.331, 2; 1,-3 / 0,3.5
47.502, 1; 1,-5
47.673, 2; 1,-3 / 0,3.5
47.844, 2; 1,-1 / 0,3
48.015, 2; 1,-3 / 0,2.5
48.186, 1; 1,-5
48.357, 1; 1,-3
48.528, 1; 1,-1
48.699, 1; 1,-3
48.870, 1; 1,-5
49.041, 1; 1,-1
49.212, 1; 1,3
49.383, 1; 1,7
49.554, 1; 1,5
49.725, 2; 1,3 / 0,-4
49.896, 1; 1,1
50.067, 1; 1,3
50.238, 2; 1,5 / 0,-4
50.409, 1; 1,3
50.580, 2; 1,1 / 0,-5
50.751, 2; 1,3 / 0,-6
50.922, 1; 1,5
51.093, 2; 1,3 / 0,-5
51.264, 2; 1,1 / 0,-4
51.435, 1; 1,3 
51.606, 2; 1,5 / 0,-5
51.777, 2; 1,3 / 0,-6
51.948, 1; 1,1
52.119, 2; 1,3 / 0,-3.5
52.290, 1; 1,5
52.461, 1; 1,3
52.632, 1; 1,1
52.803, 2; 1,3 / 0,-3.5
52.974, 1; 1,5
53.145, 2; 1,3 / 0,-3.5
53.316, 2; 1,1 / 0,-3
53.487, 2; 1,3 / 0,-2.5
53.658, 1; 1,5
53.829, 1; 1,3
54.000, 1; 1,1
54.171, 2; 1,3 / 0,-3
54.342, 1; 1,5
54.513, 2; 1,1 / 0,-3
54.684, 2; 1,-3 / 0,4
54.855, 2; 1,-7 / 0,6
55.026, 1; 2,-5
55.197, 2; 2,-3 / 0,4
55.368, 1; 2,-1
55.539, 1; 2,-3 
55.710, 2; 2,-5 / 0,4
55.881, 1; 2,-3
56.052, 2; 2,-1 / 0,5
56.223, 2; 2,-3 / 0,6
56.394, 1; 2,-5
56.565, 2; 2,-3 / 0,5
56.736, 2; 2,-1 / 0,4
56.907, 1; 2,-3
57.078, 2; 2,-5 / 0,5
57.249, 2; 2,-3 / 0,6
57.420, 1; 2,-1
57.591, 2; 2,-3 / 0,3.5
57.762, 1; 2,-5
57.933, 1; 2,-3
58.104, 1; 2,-1
58.275, 2; 2,-3 / 0,3.5
58.446, 1; 2,-5
58.617, 2; 2,-3 / 0,3.5
58.788, 2; 2,-1 / 0,3
58.959, 2; 2,-3 / 0,2.5
59.130, 1; 2,-5
59.301, 1; 2,-3
59.472, 1; 2,-1
59.643, 1; 2,-3
59.814, 1; 2,-5
59.985, 1; 2,-1
60.156, 1; 2,3
60.327, 1; 2,7
60.498, 1; 2,5
60.669, 2; 2,3 / 0,-4
60.840, 1; 2,1
61.011, 1; 2,3 
61.182, 2; 2,5 / 0,-4
61.353, 1; 2,3
61.524, 2; 2,1 / 0,-5
61.695, 2; 2,3 / 0,-6
61.866, 1; 2,5
62.037, 2; 2,3 / 0,-6
62.208, 2; 2,1 / 0,-5
62.379, 1; 2,3
62.550, 2; 2,5 / 0,-5
62.721, 2; 2,3 / 0,-6
62.892, 1; 2,1
63.063, 2; 2,3 / 0,-3.5
63.234, 1; 2,5
63.405, 1; 2,3
63.576, 1; 2,1
63.747, 2; 2,3 / 0,-3.5
63.918, 1; 2,5
64.089, 2; 2,3 / 0,-3.5
64.260, 2; 2,1 / 0,-3
64.431, 2; 2,3 / 0,-2.5
64.602, 1; 2,5
64.773, 1; 2,3
64.944, 1; 2,1
65.115, 2; 2,3 / 0,-3
65.286, 1; 2,5
65.457, 2; 2,1 / 0,-3
65.628, 2; 2,-3 / 0,4
65.799, 1; 2,-7
66.143, 2; 0,-5 / 1,1
66.164, 1; 2,-6.6
66.486, 1; 0,-5
66.507, 1; 2,-6.6
66.658, 1; 1,1
66.829, 1; 0,-5
66.850, 1; 2,-6.6
67.001, 1; 1,1
67.172, 2; 0,-5 / 1,1
67.193, 1; 2,-6.6
67.515, 2; 0,-5 / 1,1
67.536, 1; 2,-6.6
67.687, 1; 1,1
67.857, 1; 0,-5
67.878, 1; 2,-6.6
68.050, 1; 1,1
68.200, 2; 0,-5 / 1,1
68.221, 1; 2,-6.6
68.543, 2; 0,-5 / 1,1
68.564, 1; 2,-6.6
68.886, 1; 0,-5
68.907, 1; 2,-6.6
69.229, 2; 0,-5 / 1,1
69.250, 1; 2,-6.6
69.572, 2; 0,-5 / 1,1
69.593, 1; 2,-6.6
69.744, 1; 1,1
69.915, 2; 0,-5 / 1,1
69.936, 1; 2,-6.6
70.258, 1; 0,-5
70.279, 1; 2,-6.6
70.601, 2; 0,-5 / 1,1
70.622, 1; 2,-6.6
70.944, 2; 0,-5 / 1,1
70.965, 1; 2,-6.6
71.116, 1; 1,1
71.286, 2; 0,-5 / 1,1
71.307, 1; 2,-6.6
71.629, 2; 0,-5 / 1,1
71.650, 1; 2,-6.6
71.972, 1; 0,-5
71.993, 1; 2,-6.6
72.144, 1; 1,1
72.315, 1; 0,-5
72.336, 1; 2,-6.6
72.487, 1; 1,1
72.658, 2; 0,-5 / 1,1
72.679, 1; 2,-6.6
73.001, 2; 0,-5 / 1,1
73.022, 1; 2,-6.6
73.173, 1; 1,1
73.343, 1; 0,-5
73.364, 1; 2,-6.6
73.536, 1; 1,1
73.686, 2; 0,-5 / 1,1
73.707, 1; 2,-6.6
74.029, 2; 0,-5 / 1,1
74.050, 1; 2,-6.6
74.372, 1; 0,-5
74.393, 1; 2,-6.6
74.715, 2; 0,-5 / 1,1
74.736, 1; 2,-6.6
75.058, 2; 0,-5 / 1,1
75.079, 1; 2,-6.6
75.230, 1; 1,1
75.401, 2; 0,-5 / 1,1
75.422, 1; 2,-6.6
75.744, 1; 0,-5
75.765, 1; 2,-6.6
76.087, 2; 0,-5 / 1,1
76.108, 1; 2,-6.6
76.430, 2; 0,-5 / 1,1
76.451, 1; 2,-6.6
76.602, 1; 1,1
76.794, 2; 0,-5 / 1,1
76.815, 1; 2,-6.6
77.137, 2; 0,-5 / 1,1
77.158, 1; 2,-6.6
77.479, 1; 0,-5
77.500, 1; 2,-6.6
77.652, 1; 1,1
77.822, 1; 0,-5
77.843, 1; 2,-6.6
77.994, 1; 1,1
78.165, 2; 0,-5 / 1,1
78.186, 1; 2,-6.6
78.508, 2; 0,-5 / 1,1
78.529, 1; 2,-6.6
78.701, 1; 1,1
78.851, 1; 0,-5
78.872, 1; 2,-6.6
79.023, 1; 1,1
79.194, 2; 0,-5 / 1,1
79.215, 1; 2,-6.6
79.537, 2; 0,-5 / 1,1
79.558, 1; 2,-6.6
79.880, 1; 0,-5
79.901, 1; 2,-6.6
80.223, 2; 0,-5 / 1,1
80.244, 1; 2,-6.6
80.566, 2; 0,-5 / 1,1
80.587, 1; 2,-6.6
80.739, 1; 1,1
80.909, 2; 0,-5 / 1,1
80.930, 1; 2,-6.6
81.252, 1; 0,-5
81.273, 1; 2,-6.6
81.595, 2; 0,-5 / 1,1
81.616, 1; 2,-6.6
81.938, 2; 0,-5 / 1,1
81.959, 1; 2,-6.6
82.110, 1; 1,1
